critic_rating,user_rating,num_critic_rev,num_user_rev,genres,esrb_rating,unit shipped/sold
69,7.5,7,20,Misc,M,1000.0
26,2.7,5,101,Action,T,1000.0
59,6.0,14,43,Action,M,1000.0
70,6.1,18,59,Action,T,30000.0
73,7.3,9,4,Action,T,1000.0
0,0.0,67,0,Action,RP,1000.0
72,7.4,13,15,Action,M,1000.0
80,6.9,4,16,Misc,T,1000.0
73,7.1,11,14,RPG,T,1000.0
74,6.6,5,44,Action,M,1000.0
80,7.3,6,74,Action,T,140000.0
63,4.8,6,12,RPG,T,10000.0
74,7.6,14,21,Misc,T,1000.0
79,7.8,30,44,Misc,T,1000000.0
60,5.5,6,4,Misc,M,1000.0
58,6.3,24,36,RPG,T,1000.0
80,7.7,25,69,RPG,M,1000.0
63,0.0,9,0,Action,M,1000.0
69,7.6,14,24,Action,T,1000.0
80,7.7,9,56,Action,T,1000.0
39,5.1,12,48,Action,M,1000.0
68,5.4,14,31,Action,M,1000.0
71,3.8,10,6,Action,M,1000.0
41,4.2,7,26,Misc,M,1000.0
69,7.4,9,14,Action,T,1000.0
73,6.4,23,17,Action,T,1000.0
70,6.1,9,7,RPG,M,1000.0
69,7.1,4,29,Misc,M,1000.0
41,4.6,7,32,Misc,T,1000.0
69,7.2,9,20,Misc,M,120000.0
58,7.5,17,11,Misc,T,1000.0
84,7.2,8,28,Misc,M,1000.0
64,5.6,4,12,Action,T,120000.0
64,0.0,4,0,Action,T,1000.0
48,7.0,6,5,Action,T,1000.0
68,7.6,7,22,Misc,M,220000.0
66,7.1,5,18,RPG,T,1000.0
69,8.2,6,35,Action,M,1000.0
66,6.9,18,133,Action,T,1000.0
77,5.0,11,8,RPG,T,1000.0
61,6.2,11,5,Action,T,1000.0
70,6.8,4,4,Misc,T,1000.0
78,6.0,7,5,RPG,M,1000.0
60,7.6,10,14,Action,M,1000.0
60,6.6,11,63,Misc,M,1000.0
53,4.1,40,112,Misc,T,30000.0
68,6.0,17,20,RPG,M,1000.0
79,8.5,39,342,Misc,M,190000.0
72,6.8,20,75,RPG,M,1000.0
71,7.1,8,9,Misc,M,1000.0
74,5.8,14,5,Action,M,1000.0
